Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019-11-05,122.11,122.54,120.61,121.68,6519581,37003671,2420792222,0.00269316,sh600649
2019-11-06,121.25,121.68,119.32,120.61,5486096,30833438,2420792222,0.00226624,sh600649
2019-11-07,119.97,121.04,119.75,120.18,4151904,23326039,2420792222,0.001715101,sh600649
2019-11-08,120.4,121.04,119.97,119.97,4898005,27566559,2420792222,0.002023307,sh600649
2019-11-11,119.97,119.97,117.18,118.25,5117169,28199972,2420792222,0.002113841,sh600649
2019-11-12,117.83,118.25,117.18,117.83,3033613,16661008,2420792222,0.001253149,sh600649
2019-11-13,117.83,117.83,116.97,117.61,2477909,13569413,2420792222,0.001023594,sh600649
2019-11-14,117.18,117.83,117.18,117.61,3269034,17912528,2420792222,0.001350398,sh600649
2019-11-15,117.4,117.61,116.75,117.18,2983573,16297835,2420792222,0.001232478,sh600649
2019-11-18,116.97,117.61,116.33,117.18,2667956,14571723,2420792222,0.0011021,sh600649
2019-11-19,117.18,118.47,116.75,118.25,2781796,15288877,2420792222,0.001149126,sh600649
2019-11-20,118.47,118.68,117.4,117.61,1965297,10813862,2420792222,0.00081184,sh600649
2019-11-21,117.18,117.61,116.75,117.18,1778204,9725089,2420792222,0.000734555,sh600649
2019-11-22,117.4,118.47,116.75,117.18,3779307,20733863,2420792222,0.001561186,sh600649
2019-11-25,117.18,118.9,116.75,118.47,3690464,20334684,2420792222,0.001524486,sh600649
2019-11-26,118.47,118.9,117.4,117.83,2518415,13856291,2420792222,0.001040327,sh600649
2019-11-27,118.04,118.25,117.18,117.83,2874094,15806834,2420792222,0.001187253,sh600649
2019-11-28,117.83,118.04,117.4,117.83,1762636,9695414,2420792222,0.000728124,sh600649
2019-11-29,117.61,118.25,117.4,118.04,2293193,12618469,2420792222,0.00094729,sh600649
2019-12-02,118.25,118.9,117.83,118.9,3856628,21313167,2420792222,0.001593126,sh600649
2019-12-03,118.47,118.9,117.83,118.68,2084970,11519002,2420792222,0.000861276,sh600649
